review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000002,ORD-20260102-169944,CUST-10013,REST-AUH-001,Outstanding experience! The Lamb Rogan Josh exceeded all expectations. Lamb Rogan Josh was the star of the meal. Will definitely order again!,5,2026-01-04T20:53:57.278660
REV-000003,ORD-20260104-676949,CUST-10044,REST-AUH-001,Decent food but nothing special. Garlic Naan were okay. Garlic Naan lacked the punch I expected.,3,2026-01-06T11:06:03.278660
REV-000001,ORD-20251231-306769,CUST-10389,REST-SHJ-001,Wow! Just wow! Naan  Samosa (2 pcs)  and Palak Paneer were all fantastic. Naan was particularly memorable. Can't wait to order again!,5,2026-01-06T11:31:34.278660
REV-000004,ORD-20260104-620731,CUST-10245,REST-SHJ-001,Disaster! Masala Chai  Garlic Naan  and Palak Paneer were all stale. Masala Chai had a weird smell. Completely unacceptable!,1,2026-01-08T16:06:00.278660
REV-000005,ORD-20260109-756744,CUST-10030,REST-AUH-002,Terrible experience! Aloo Tikki Chaat  Fish Curry  and Garlic Naan were all inedible. Fish Curry was completely burnt. Waste of money!,1,2026-01-10T14:38:37.278660
REV-000006,ORD-20260111-151668,CUST-10445,REST-AUH-002,Good quality food. Jeera Rice  Tandoori Roti  Malai Kofta  and Chicken Biryani were nicely done. Tandoori Roti could have been slightly spicier but still good!,4,2026-01-14T13:24:09.278660
REV-000007,ORD-20260113-480706,CUST-10331,REST-AUH-001,Perfect in every way! Kulfi and Vegetable Biryani were all excellent. Kulfi stood out with its rich  authentic taste.,5,2026-01-14T22:28:54.278660
REV-000008,ORD-20260114-522733,CUST-10325,REST-DXB-001,Enjoyed the Dal Makhani  Palak Paneer  and Chole Bhature! Dal Makhani was very good. Portion sizes were generous. Recommend!,4,2026-01-17T17:50:16.278660
REV-000009,ORD-20260115-490636,CUST-10231,REST-DXB-001,Mixed feelings. Rasmalai (2 pcs)  Chicken Biryani  Chole Bhature  Fish Curry  and Aloo Tikki Chaat were acceptable. Fish Curry was decent but portion was small for the price.,3,2026-01-19T19:32:05.278660
REV-000010,ORD-20260116-582087,CUST-10147,REST-DXB-002,Mediocre. Fish Curry  Dal Makhani  Mango Lassi  and Gulab Jamun (2 pcs) were fine but forgettable. Gulab Jamun (2 pcs) didn't stand out.,3,2026-01-21T12:49:09.278660
REV-000012,ORD-20260122-663653,CUST-10321,REST-DXB-001,Outstanding experience! The Chicken Tikka Masala  Mango Lassi  and Butter Naan exceeded all expectations. Chicken Tikka Masala was the star of the meal. Will definitely order again!,5,2026-01-26T21:14:43.278660
REV-000011,ORD-20260122-111892,CUST-10339,REST-DXB-001,Hands down the best Rasmalai (2 pcs) I've ever had! Gulab Jamun (2 pcs)  Rasmalai (2 pcs)  Kulfi  Tandoori Roti  and Jeera Rice were all prepared beautifully. Fresh and flavorful!,5,2026-01-28T12:05:54.278660
REV-000014,ORD-20260127-721863,CUST-10256,REST-SHJ-001,Best Indian food in UAE! Butter Naan and Tandoori Roti were incredible. Tandoori Roti had the perfect balance of spices. Five stars!,5,2026-01-29T12:50:12.278660
REV-000013,ORD-20260126-871701,CUST-10293,REST-AUH-001,Incredible meal! Chicken Tikka Masala  Mango Lassi  and Naan arrived hot and fresh. The Chicken Tikka Masala was absolutely divine. Highly satisfied!,5,2026-02-02T10:09:49.278660
REV-000015,ORD-20260202-898496,CUST-10066,REST-DXB-002,Hands down the best Tandoori Roti I've ever had! Tandoori Roti  Rasmalai (2 pcs)  Jeera Rice  and Mango Lassi were all prepared beautifully. Fresh and flavorful!,5,2026-02-03T15:14:50.278660
REV-000016,ORD-20260207-733410,CUST-10333,REST-DXB-001,Perfect in every way! Butter Naan were all excellent. Butter Naan stood out with its rich  authentic taste.,5,2026-02-12T17:09:35.278660
REV-000017,ORD-20260211-676240,CUST-10064,REST-DXB-001,Not bad  not great. Naan  Aloo Tikki Chaat  Gajar Halwa  and Garlic Naan were edible. Garlic Naan needed more seasoning.,3,2026-02-13T17:04:46.278660
REV-000018,ORD-20260212-248594,CUST-10326,REST-SHJ-001,Not bad  not great. Kulfi  Chicken 65  Tandoori Roti  Paneer Tikka  and Chicken Biryani were edible. Tandoori Roti needed more seasoning.,3,2026-02-17T14:51:53.278660
REV-000019,ORD-20260214-563957,CUST-10240,REST-DXB-001,Wow! Just wow! Chicken 65 were all fantastic. Chicken 65 was particularly memorable. Can't wait to order again!,5,2026-02-20T14:58:09.278660
REV-000020,ORD-20260218-752631,CUST-10455,REST-AUH-002,Incredible meal! Jeera Rice  Mango Lassi  and Paneer Butter Masala arrived hot and fresh. The Paneer Butter Masala was absolutely divine. Highly satisfied!,5,2026-02-21T19:47:53.278660
REV-000021,ORD-20260222-497169,CUST-10126,REST-DXB-001,Wow! Just wow! Aloo Tikki Chaat  Samosa (2 pcs)  and Kulfi were all fantastic. Aloo Tikki Chaat was particularly memorable. Can't wait to order again!,5,2026-02-28T16:25:04.278660
REV-000022,ORD-20260303-497870,CUST-10308,REST-DXB-001,Best Indian food in UAE! Masala Chai  Fresh Lime Soda  Dal Makhani  and Naan were incredible. Fresh Lime Soda had the perfect balance of spices. Five stars!,5,2026-03-05T22:46:35.278660
